userId,name,affiliation,email,interests,total_citations,h_index,i10_index,home_webpage,profileLink
kHAuG30AAAAJ,Satoshi Tanaka,"‪Professor, College of Information Science and Engineering, Ritsumeikan University‬",is.ritsumei.ac.jp,"Visualization, Digital Humanities, Monte Carlo Simulation",88718,71,432,https://stanaka4.wixsite.com/stanaka2015j,https://scholar.google.com/citations?user=kHAuG30AAAAJ&hl=en
QP5JHg_7o_cC,Lev Manovich,"‪Professor, The Graduate Center, CUNY‬",gc.cuny.edu,"digital culture, media theory, digital humanities, digital art, cultural analytics",43174,59,189,http://www.manovich.net/,https://scholar.google.com/citations?user=QP5JHg_7o_cC&hl=en
FXZzosEAAAAJ,Gerik Scheuermann,"‪Professor für Informatik, Universität Leipzig‬",informatik.uni-leipzig.de,"Visualization, Visual Analytics, Topology, Cliffordalgebra, Digital Humanities",23887,47,162,http://www.informatik.uni-leipzig.de/bsv/homepage/de/people/gerik-scheuermann,https://scholar.google.de/citations?user=FXZzosEAAAAJ&hl=de
VGdVdjwAAAAJ,Graeme Hirst,"‪Professor of Computer Science, University of Toronto‬",cs.toronto.edu,"Computational Linguistics, Natural Language Processing, Digital Humanities",18652,62,176,http://www.graemehirst.com/,https://scholar.google.com/citations?user=VGdVdjwAAAAJ&hl=en
ETrbpjsAAAAJ,David De Roure,"‪Professor of e-Research, University of Oxford‬",oerc.ox.ac.uk,"Digital Humanities, Computational Musicology, Internet of Things, Cybersecurity, e-Science",18619,66,273,http://www.oerc.ox.ac.uk/people/dder,https://scholar.google.com/citations?user=ETrbpjsAAAAJ&hl=en
uBFV6SUAAAAJ,David Mimno,"‪Associate Professor, Cornell University‬",cornell.edu,"Machine Learning, Text Mining, Topic Modeling, Digital Humanities",13650,41,62,https://mimno.infosci.cornell.edu/,https://scholar.google.com/citations?user=uBFV6SUAAAAJ&hl=en
mjsJxhQAAAAJ,Shlomo Engelson Argamon,"‪Associate Provost for AI, Professor of Computer Science, Touro University‬",touro.edu,"Artificial intelligence, machine learning, computational linguistics, digital humanities, authorship",13569,43,89,http://lingcog.blogspot.com/,https://scholar.google.com/citations?user=mjsJxhQAAAAJ&hl=en
t5cgwVAAAAAJ,Katrien Verbert,"‪Professor, KU Leuven‬",cs.kuleuven.be,"Explainable AI, interactive recommender systems, human-computer interaction, visual analytics, digital humanities",12635,51,139,https://augment.cs.kuleuven.be/,https://scholar.google.com/citations?user=t5cgwVAAAAAJ&hl=en
LCuzJyYAAAAJ,Antal van den Bosch,‪Utrecht University‬,uu.nl,"Computational Linguistics, Digital Humanities, Artificial Intelligence, Machine Learning, Text Analytics",11113,45,179,https://antalvandenbosch.nl/,https://scholar.google.com/citations?user=LCuzJyYAAAAJ&hl=en
f9VfhJsAAAAJ,Jacob Blakesley,"‪Associate Professor in Comparative Literature, ISO, University of Rome 'La Sapienza'‬",uniroma1.it,"Comparative Literature, Literary translation, Dante studies, Digital Humanities, Italian Literature",10913,8,6,http://jacobdblakesley.wordpress.com/,https://scholar.google.com/citations?user=f9VfhJsAAAAJ&hl=en
pZEf29QAAAAJ,Frederic Kaplan,‪Ecole Polytechnique Fédérale de Lausane‬,epfl.ch,Digital Humanities,10279,49,109,http://dhlab.epfl.ch/,https://scholar.google.com/citations?user=pZEf29QAAAAJ&hl=en
dlV-qnUAAAAJ,Walter Scheirer,‪Dennis O. Doughty Collegiate Professor of Engineering‬,nd.edu,"Artificial Intelligence, Computer Vision, Machine Learning, Digital Humanities",10079,45,112,http://www.wjscheirer.com/,https://scholar.google.com/citations?user=dlV-qnUAAAAJ&hl=en
3_FPFgMAAAAJ,Erik Tjong Kim Sang,‪Netherlands eScience Center‬,esciencecenter.nl,"Computational Linguistics, Digital Humanities, Machine Learning",9870,29,48,http://ifarm.nl/erikt/,https://scholar.google.nl/citations?user=3_FPFgMAAAAJ&hl=nl
I2Zb3TsAAAAJ,Jason Mittell,‪Middlebury College‬,middlebury.edu,"Media Studies, Television Studies, Film Studies, Narrative Theory, Digital Humanities",8787,31,52,http://justtv.wordpress.com/,https://scholar.google.com/citations?user=I2Zb3TsAAAAJ&hl=en
VLcv-IIAAAAJ,Amardeep Singh,"‪Professor of English, Lehigh University‬",lehigh.edu,"Postcolonial literature, Film, Digital Humanities, Modernism",8733,40,216,http://www.electrostani.com/,https://scholar.google.com/citations?user=VLcv-IIAAAAJ&hl=en
bWlQ2uEAAAAJ,Jaap Kamps,‪University of Amsterdam‬,uva.nl,"Information Retrieval, Natural Language Processing, Artificial Intelligence, Digital Humanities, New Media",8435,42,163,http://e.humanities.uva.nl/,https://scholar.google.com.au/citations?user=bWlQ2uEAAAAJ&hl=en
Vgi8nAcAAAAJ,Emanuele Frontoni,‪Full Professor of Computer Engineering UNIMC & co-director VRAI Lab‬,unimc.it,"artificial intelligence, computer vision, robotics, remote sensing, digital humanities",8381,46,180,http://vrai.dii.univpm.it/,https://scholar.google.it/citations?user=Vgi8nAcAAAAJ&hl=it
jU8HCCkAAAAJ,Massimiliano Corsini,‪ISTI-CNR‬,isti.cnr.it,"computer graphics, computer vision, artificial intelligence, multimedia, digital humanities",7458,30,56,http://vcg.isti.cnr.it/~corsini,https://scholar.google.it/citations?user=jU8HCCkAAAAJ&hl=it
0MiPsosAAAAJ,Mathieu Aubry,"‪Researcher, ENPC, LIGM-Imagine‬",imagine.enpc.fr,"computer vision, machine learning, digital humanities",7364,32,48,http://imagine.enpc.fr/~aubrym/,https://scholar.google.fr/citations?user=0MiPsosAAAAJ&hl=fr
fJLNqvIAAAAJ,John Stephen Downie,‪Associate Dean for Research and Professor of Library and Information Science University of Illinois‬,illinois.edu,"Music information retrieval, digital humanities, e-science, library science, information science",7035,35,92,NA,https://scholar.google.com/citations?user=fJLNqvIAAAAJ&hl=en
pHGEoJEAAAAJ,Tsvi Kuflik,"‪Professor of Information Systems, The University of Haifa‬",is.haifa.ac.il,"Digital Humanities, Advanced technology for Cultural Heritage, User Modeling, Intelligent User Interfaces, Smart environments",6895,41,132,NA,https://scholar.google.co.il/citations?user=pHGEoJEAAAAJ&hl=en
qCOtRT8AAAAJ,Franciska de Jong,‪Universiteit Utrecht/Erasmus Universiteit/Universiteit Twente‬,utwente.nl,"language technology, information retrieval, digital humanities, machine translation, spoken document",6650,38,101,https://www.uu.nl/staff/FMGdeJong,https://scholar.google.com/citations?user=qCOtRT8AAAAJ&hl=nl
LRKlkaAAAAAJ,Rens Bod,‪University of Amsterdam‬,uva.nl,"History of Humanities, History of Knowledge, History of Science, Digital Humanities, Computational Linguistics",6454,35,89,https://www.uva.nl/profiel/b/o/l.w.m.bod/l.w.m.bod.html,https://scholar.google.nl/citations?user=LRKlkaAAAAAJ&hl=nl
heGupqYAAAAJ,Tomaž Erjavec,‪Jožef Stefan Institute‬,ijs.si,"Language Technologies, Language Resources, Digital Humanities",6437,37,118,http://nl.ijs.si/et/,https://scholar.google.com/citations?user=heGupqYAAAAJ&hl=en
T8k2etUAAAAJ,David A. Smith,"‪Associate Professor, College of Computer and Information Science, Northeastern University‬",ccs.neu.edu,"natural language processing, computational linguistics, information retrieval, machine translation, digital humanities",6338,34,106,http://www.ccs.neu.edu/home/dasmith/,https://scholar.google.com/citations?user=T8k2etUAAAAJ&hl=en
3p_bhfUAAAAJ,Michele Coscia,‪IT University of Copenhagen‬,itu.dk,"Complex Networks, Digital Humanities, Human Mobility, Economic Development, Memetics",6303,27,51,http://www.michelecoscia.com/,https://scholar.google.com/citations?user=3p_bhfUAAAAJ&hl=en
12olpHgAAAAJ,Kostas Karpouzis,"‪Assistant professor, Panteion University of Social and Political Sciences‬",panteion.gr,"Digital Humanities, Serious Games, Affective computing, AI Ethics, Generative AI",6238,41,100,https://cmc.panteion.gr/en/faculty-members-teaching-staff/assistant-professor-kostas-karpouzis,https://scholar.google.com/citations?user=12olpHgAAAAJ&hl=en
pUB0nnwhGVAC,Tim Weyrich,‪Professor of Digital Reality at Friedrich-Alexander University Erlangen-Nürnberg (FAU)‬,fau.de,"appearance modelling, point-based graphics, 3D reconstruction, cultural heritage acquisition, digital humanities",5822,37,74,http://tim.weyri.ch/,https://scholar.google.co.uk/citations?user=pUB0nnwhGVAC&hl=en
SdkXXMAAAAAJ,Roberto Theron (ORCID: 0000-0001-6739-8875),‪University of Salamanca‬,usal.es,"Data visualization, Visual Analytics, Human-Computer Interaction, Bioinformatics, Digital Humanities",5778,43,122,http://vis.usal.es/author/roberto-theron,https://scholar.google.com/citations?user=SdkXXMAAAAAJ&hl=en
SkuWmdYAAAAJ,Todd Presner,"‪Professor of European Languages and Transcultural Studies, Digital Humanities, UCLA‬",ucla.edu,"Digital Humanities, German-Jewish culture, digital mapping, GIS",5748,21,34,https://elts.ucla.edu/person/todd-presner/,https://scholar.google.com/citations?user=SkuWmdYAAAAJ&hl=en
nKl6E7EAAAAJ,Melissa Terras,"‪Professor of Digital Cultural Heritage, University of Edinburgh‬",ed.ac.uk,Digital Humanities,5751,40,98,http://www.ucl.ac.uk/dis/people/melissaterras,https://scholar.google.com/citations?user=nKl6E7EAAAAJ&hl=en
22sLFVoAAAAJ,David M. Berry,"‪Professor of Digital Humanities, University of Sussex‬",sussex.ac.uk,"Digital Humanities, Software Studies, Critical Theory, Media Theory, Critical University Studies",5698,26,42,http://www.sussex.ac.uk/profiles/125219,https://scholar.google.com/citations?user=22sLFVoAAAAJ&hl=en
vygtLDcAAAAJ,Richard Furuta,"‪Professor, Computer Science and Engineering, Texas A&M University‬",cs.tamu.edu,"Digital Libraries, Digital Humanities, HCI",5668,38,97,NA,https://scholar.google.com/citations?user=vygtLDcAAAAJ&hl=en
8khoUBcAAAAJ,Thomas Hegghammer,"‪Senior Research Fellow, All Souls College, Oxford University‬",all-souls.ox.ac.uk,"Political Violence, Middle East, Digital Humanities",5629,30,49,http://hegghammer.com/,https://scholar.google.com/citations?user=8khoUBcAAAAJ&hl=en
RkA1y54AAAAJ,David Bamman,‪UC Berkeley‬,berkeley.edu,"Natural Language Processing, Machine Learning, Digital Humanities, Computational Social Science",5600,34,63,NA,https://scholar.google.com/citations?user=RkA1y54AAAAJ&hl=en
GNCyVj0AAAAJ,Peter Lunenfeld,‪Professor of Design Media Arts‬,ucla.edu,"Media philosophy, new media, art and design criticism, digital humanities, urban humanities",5552,23,30,http://peterlunenfeld.com/,https://scholar.google.com/citations?user=GNCyVj0AAAAJ&hl=en
1VYnHCMAAAAJ,Dr Beatrice Alex,‪Senior Lecturer and Chancellor's Fellow in Text Mining‬,ed.ac.uk,"text mining, information extraction, natural language processing, health records, digital humanities",5519,33,62,https://www.ed.ac.uk/profile/dr-beatrice-alex,https://scholar.google.co.uk/citations?user=1VYnHCMAAAAJ&hl=en
YV-jMbMAAAAJ,Matthew Kirschenbaum,‪University of Maryland‬,umd.edu,"Media studies, book history, contemporary literature, games, digital humanities",5413,26,44,http://mkirschenbaum.net/,https://scholar.google.com/citations?user=YV-jMbMAAAAJ&hl=en
yygt1hkAAAAJ,Dr.Yuxiang (Chris) Zhao 赵宇翔,"‪Professor, Nanjing University‬",vip.163.com,"Information Behavior, Health Informatics, Human Information Behavior, Digital Humanities",5353,29,101,https://www.researchgate.net/profile/Yuxiang_Zhao2,https://scholar.google.com/citations?user=yygt1hkAAAAJ&hl=zh-CN
H7qp_c0AAAAJ,Fotis Jannidis,"‪Professor für Computerphilologie und Neuere Deutsche Literaturgeschichte, Universität Würzburg‬",jannidis.de,"Digital Humanities, Computational Literary Studies, Stylometry, Narratology",5245,31,79,http://www.jannidis.de/,https://scholar.google.de/citations?user=H7qp_c0AAAAJ&hl=de
4ucFsi4AAAAJ,Robert Jäschke,"‪Professor of Information Processing and Analytics, Humboldt-Universität zu Berlin‬",hu-berlin.de,"Web Science, Recommender Systems, Information Retrieval, Knowledge Discovery, Digital Humanities",5027,24,42,https://amor.cms.hu-berlin.de/~jaeschkr/,https://scholar.google.com/citations?user=4ucFsi4AAAAJ&hl=en
hnTpEOAAAAAJ,Malvina Nissim,"‪Professor of Computational Linguistics and Society, Rijksuniversiteit Groningen‬",rug.nl,"Computational Linguistics, Language Technology, Natural Language Processing, Linguistics, Digital Humanities",4912,39,85,NA,https://scholar.google.com/citations?user=hnTpEOAAAAAJ&hl=en
JxUN_ggAAAAJ,Timo Honkela,‪University of Helsinki‬,helsinki.fi,"language technology, text mining, digital humanities, socio-cognitive modeling, language philosophy",4833,30,71,https://tuhat.helsinki.fi/portal/en/persons/timo-honkela(2c6425cd-0cdb-4775-987c-6f3bfe9e96a5).html,https://scholar.google.com/citations?user=JxUN_ggAAAAJ&hl=en
aL_dktgAAAAJ,Haitao Liu,"‪Professor of Linguistics, Zhejiang Univerity‬",zju.edu.cn,"Quantitative Linguistics, Digital Humanities, Dependency Grammar, Language Planning, Interlinguistics",4780,33,84,https://person.zju.edu.cn/lht,https://scholar.google.com/citations?user=aL_dktgAAAAJ&hl=en
XvwdTTsAAAAJ,Alan Y. Liu,"‪Professor of English, University of Californa, Santa Barbara‬",english.ucsb.edu,"Digital Humanities, Romantic literary studies",4725,25,36,http://liu.english.ucsb.edu/,https://scholar.google.com/citations?user=XvwdTTsAAAAJ&hl=en
Xc9Sco0AAAAJ,Lauren Frederica Klein,"‪Associate Professor, Emory University‬",emory.edu,"digital humanities, data justice, data feminism, quantitative literary studies, american literature",4700,16,23,http://lklein.com/,https://scholar.google.com/citations?user=Xc9Sco0AAAAJ&hl=en
xb6uE9IAAAAJ,Wei Li,‪Beijing Language and Culture University‬,blcu.edu.cn,"NLP, Deep Learning, Digital Humanities",4702,33,51,NA,https://scholar.google.com/citations?user=xb6uE9IAAAAJ&hl=zh-CN
