name,affiliation,email,interests,citedBy,profileLink,userId
Satoshi Tanaka,"Professor, College of Information Science and Engineering, Ritsumeikan University",Verified email at is.ritsumei.ac.jp,"Visualization, Digital Humanities, Monte Carlo Simulation",87855,https://scholar.google.com/citations?hl=en&user=kHAuG30AAAAJ,kHAuG30AAAAJ
Lev Manovich,"Professor, The Graduate Center, CUNY",Verified email at gc.cuny.edu,"digital culture, media theory, digital humanities, digital art, cultural analytics",42987,https://scholar.google.com/citations?hl=en&user=QP5JHg_7o_cC,QP5JHg_7o_cC
Gerik Scheuermann,"Professor für Informatik, Universität Leipzig",Verified email at informatik.uni-leipzig.de,"Visualization, Visual Analytics, Topology, Cliffordalgebra, Digital Humanities",23723,https://scholar.google.com/citations?hl=en&user=FXZzosEAAAAJ,FXZzosEAAAAJ
Graeme Hirst,"Professor of Computer Science, University of Toronto",Verified email at cs.toronto.edu,"Computational Linguistics, Natural Language Processing, Digital Humanities",18585,https://scholar.google.com/citations?hl=en&user=VGdVdjwAAAAJ,VGdVdjwAAAAJ
David De Roure,"Professor of e-Research, University of Oxford",Verified email at oerc.ox.ac.uk,"Digital Humanities, Computational Musicology, Internet of Things, Cybersecurity, e-Science",18562,https://scholar.google.com/citations?hl=en&user=ETrbpjsAAAAJ,ETrbpjsAAAAJ
David Mimno,"Associate Professor, Cornell University",Verified email at cornell.edu,"Machine Learning, Text Mining, Topic Modeling, Digital Humanities",13565,https://scholar.google.com/citations?hl=en&user=uBFV6SUAAAAJ,uBFV6SUAAAAJ
Shlomo Engelson Argamon,"Associate Provost for AI, Professor of Computer Science, Touro University",Verified email at touro.edu,"Artificial intelligence, machine learning, computational linguistics, digital humanities, authorship",13521,https://scholar.google.com/citations?hl=en&user=mjsJxhQAAAAJ,mjsJxhQAAAAJ
Katrien Verbert,"Professor, KU Leuven",Verified email at cs.kuleuven.be,"Explainable AI, interactive recommender systems, human-computer interaction, visual analytics, digital humanities",12506,https://scholar.google.com/citations?hl=en&user=t5cgwVAAAAAJ,t5cgwVAAAAAJ
Antal van den Bosch,Utrecht University,Verified email at uu.nl,"Computational Linguistics, Digital Humanities, Artificial Intelligence, Machine Learning, Text Analytics",11073,https://scholar.google.com/citations?hl=en&user=LCuzJyYAAAAJ,LCuzJyYAAAAJ
Jacob Blakesley,"Associate Professor in Comparative Literature, ISO, University of Rome 'La Sapienza'",Verified email at uniroma1.it,"Comparative Literature, Literary translation, Dante studies, Digital Humanities, Italian Literature",10853,https://scholar.google.com/citations?hl=en&user=f9VfhJsAAAAJ,f9VfhJsAAAAJ
Frederic Kaplan,Ecole Polytechnique Fédérale de Lausane,Verified email at epfl.ch,Digital Humanities,10226,https://scholar.google.com/citations?hl=en&user=pZEf29QAAAAJ,pZEf29QAAAAJ
Walter Scheirer,Dennis O. Doughty Collegiate Professor of Engineering,Verified email at nd.edu,"Artificial Intelligence, Computer Vision, Machine Learning, Digital Humanities",9999,https://scholar.google.com/citations?hl=en&user=dlV-qnUAAAAJ,dlV-qnUAAAAJ
Erik Tjong Kim Sang,Netherlands eScience Center,Verified email at esciencecenter.nl,"Computational Linguistics, Digital Humanities, Machine Learning",9811,https://scholar.google.com/citations?hl=en&user=3_FPFgMAAAAJ,3_FPFgMAAAAJ
Jason Mittell,Middlebury College,Verified email at middlebury.edu,"Media Studies, Television Studies, Film Studies, Narrative Theory, Digital Humanities",8740,https://scholar.google.com/citations?hl=en&user=I2Zb3TsAAAAJ,I2Zb3TsAAAAJ
Amardeep Singh,"Professor of English, Lehigh University",Verified email at lehigh.edu,"Postcolonial literature, Film, Digital Humanities, Modernism",8681,https://scholar.google.com/citations?hl=en&user=VLcv-IIAAAAJ,VLcv-IIAAAAJ
Jaap Kamps,University of Amsterdam,Verified email at uva.nl,"Information Retrieval, Natural Language Processing, Artificial Intelligence, Digital Humanities, New Media",8364,https://scholar.google.com/citations?hl=en&user=bWlQ2uEAAAAJ,bWlQ2uEAAAAJ
Emanuele Frontoni,Full Professor of Computer Engineering UNIMC & co-director VRAI Lab,Verified email at unimc.it,"artificial intelligence, computer vision, robotics, remote sensing, digital humanities",8271,https://scholar.google.com/citations?hl=en&user=Vgi8nAcAAAAJ,Vgi8nAcAAAAJ
Massimiliano Corsini,ISTI-CNR,Verified email at isti.cnr.it,"computer graphics, computer vision, artificial intelligence, multimedia, digital humanities",7398,https://scholar.google.com/citations?hl=en&user=jU8HCCkAAAAJ,jU8HCCkAAAAJ
Mathieu Aubry,"Researcher, ENPC, LIGM-Imagine",Verified email at imagine.enpc.fr,"computer vision, machine learning, digital humanities",7276,https://scholar.google.com/citations?hl=en&user=0MiPsosAAAAJ,0MiPsosAAAAJ
John Stephen Downie,Associate Dean for Research and Professor of Library and Information Science University of …,Verified email at illinois.edu,"Music information retrieval, digital humanities, e-science, library science, information science",6992,https://scholar.google.com/citations?hl=en&user=fJLNqvIAAAAJ,fJLNqvIAAAAJ
Tsvi Kuflik,"Professor of Information Systems, The University of Haifa",Verified email at is.haifa.ac.il,"Digital Humanities, Advanced technology for Cultural Heritage, User Modeling, Intelligent User Interfaces, Smart environments",6847,https://scholar.google.com/citations?hl=en&user=pHGEoJEAAAAJ,pHGEoJEAAAAJ
Franciska de Jong,Universiteit Utrecht/Erasmus Universiteit/Universiteit Twente,Verified email at utwente.nl,"language technology, information retrieval, digital humanities, machine translation, spoken document",6630,https://scholar.google.com/citations?hl=en&user=qCOtRT8AAAAJ,qCOtRT8AAAAJ
Rens Bod,University of Amsterdam,Verified email at uva.nl,"History of Humanities, History of Knowledge, History of Science, Digital Humanities, Computational Linguistics",6433,https://scholar.google.com/citations?hl=en&user=LRKlkaAAAAAJ,LRKlkaAAAAAJ
Tomaž Erjavec,Jožef Stefan Institute,Verified email at ijs.si,"Language Technologies, Language Resources, Digital Humanities",6369,https://scholar.google.com/citations?hl=en&user=heGupqYAAAAJ,heGupqYAAAAJ
David A. Smith,"Associate Professor, College of Computer and Information Science, Northeastern University",Verified email at ccs.neu.edu,"natural language processing, computational linguistics, information retrieval, machine translation, digital humanities",6319,https://scholar.google.com/citations?hl=en&user=T8k2etUAAAAJ,T8k2etUAAAAJ
Michele Coscia,IT University of Copenhagen,Verified email at itu.dk,"Complex Networks, Digital Humanities, Human Mobility, Economic Development, Memetics",6264,https://scholar.google.com/citations?hl=en&user=3p_bhfUAAAAJ,3p_bhfUAAAAJ
Kostas Karpouzis,"Assistant professor, Panteion University of Social and Political Sciences",Verified email at panteion.gr,"Digital Humanities, Serious Games, Affective computing, AI Ethics, Generative AI",6191,https://scholar.google.com/citations?hl=en&user=12olpHgAAAAJ,12olpHgAAAAJ
Tim Weyrich,Professor of Digital Reality at Friedrich-Alexander University Erlangen-Nürnberg (FAU),Verified email at fau.de,"appearance modelling, point-based graphics, 3D reconstruction, cultural heritage acquisition, digital humanities",5800,https://scholar.google.com/citations?hl=en&user=pUB0nnwhGVAC,pUB0nnwhGVAC
Roberto Theron (ORCID: 0000-0001-6739-8875),University of Salamanca,Verified email at usal.es,"Data visualization, Visual Analytics, Human-Computer Interaction, Bioinformatics, Digital Humanities",5729,https://scholar.google.com/citations?hl=en&user=SdkXXMAAAAAJ,SdkXXMAAAAAJ
Todd Presner,"Professor of European Languages and Transcultural Studies, Digital Humanities, UCLA",Verified email at ucla.edu,"Digital Humanities, German-Jewish culture, digital mapping, GIS",5715,https://scholar.google.com/citations?hl=en&user=SkuWmdYAAAAJ,SkuWmdYAAAAJ
Melissa Terras,"Professor of Digital Cultural Heritage, University of Edinburgh",Verified email at ed.ac.uk,Digital Humanities,5712,https://scholar.google.com/citations?hl=en&user=nKl6E7EAAAAJ,nKl6E7EAAAAJ
David M. Berry,"Professor of Digital Humanities, University of Sussex",Verified email at sussex.ac.uk,"Digital Humanities, Software Studies, Critical Theory, Media Theory, Critical University Studies",5661,https://scholar.google.com/citations?hl=en&user=22sLFVoAAAAJ,22sLFVoAAAAJ
Richard Furuta,"Professor, Computer Science and Engineering, Texas A&M University",Verified email at cs.tamu.edu,"Digital Libraries, Digital Humanities, HCI",5660,https://scholar.google.com/citations?hl=en&user=vygtLDcAAAAJ,vygtLDcAAAAJ
Thomas Hegghammer,"Senior Research Fellow, All Souls College, Oxford University",Verified email at all-souls.ox.ac.uk,"Political Violence, Middle East, Digital Humanities",5579,https://scholar.google.com/citations?hl=en&user=8khoUBcAAAAJ,8khoUBcAAAAJ
David Bamman,UC Berkeley,Verified email at berkeley.edu,"Natural Language Processing, Machine Learning, Digital Humanities, Computational Social Science",5547,https://scholar.google.com/citations?hl=en&user=RkA1y54AAAAJ,RkA1y54AAAAJ
